72,196,Amon-Ra,St. Brown,DET,WR,9
73,197,Rondale,Moore,ARI,WR,12
74,198,Randall,Cobb,HOU,WR,10
75,213,Sterling,Shepard,NYG,WR,10
76,214,Jakobi,Meyers,NE,WR,14
77,215,Emmanuel,Sanders,BUF,WR,7
78,216,Elijah,Moore,NYJ,WR,6
79,217,Christian,Kirk,ARI,WR,12
80,218,Tre'Quan,Smith,NO,WR,6
81,225,Marquez,Valdes-Scantling,GB,WR,13
82,226,Nico,Collins,HOU,WR,10
83,227,Van,Jefferson,LAR,WR,11
84,228,Darius,Slayton,NYG,WR,10
85,229,Demarcus,Robinson,KC,WR,12
86,230,KJ,Hamler,DEN,WR,11
87,231,Tutu,Atwell,LAR,WR,11
88,232,Josh,Palmer,LAC,WR,7
89,233,Tim,Patrick,DEN,WR,11
90,234,Chris,Conley,HOU,WR,10
1,169,Buccaneers,D/ST,TB,D,9
2,170,Steelers,D/ST,PIT,D,7
3,171,Ravens,D/ST,BAL,D,8
4,172,49ers,D/ST,SF,D,6
5,173,WFT,D/ST,WAS,D,9
6,174,Bills,D/ST,BUF,D,7
7,175,Broncos,D/ST,DEN,D,11
8,176,Rams,D/ST,LAR,D,11
9,177,Patriots,D/ST,NE,D,14
10,178,Browns,D/ST,CLE,D,13
11,179,Colts,D/ST,IND,D,14
12,180,Saints,D/ST,NO,D,6
13,221,Packers,D/ST,GB,D,13
14,222,Dolphins,D/ST,MIA,D,14
15,253,Vikings,D/ST,MIN,D,7
