1,Lamar,Jackson,QB,Bal,8
2,Patrick,Mahomes,QB,KC,10
3,Deshaun,Watson,QB,HOU,8
4,Kyler,Murray,QB,ARI,8
5,Dak,Prescott,QB,DAL,10
6,Russell,Wilson,QB,SEA,6
7,Tom,Brady,QB,TB,13
8,Matt,Ryan,QB,ATL,10
9,Carson,Wentz,QB,PHI,9
10,Josh,Allen,QB,BUF,11
11,Drew,Brees,QB,NO,6
12,Matthew,Stafford,QB,DET,5
13,Aaron,Rodgers,QB,GB,5
14,Daniel,Jones,QB,NYG,11
15,Ben,Roethlisberger,QB,PIT,8
16,Ryan,Tannehill,QB,TEN,7
17,Cam,Newton,QB,NE,6
18,Jared,Goff,QB,LAR,9
19,Baker,Mayfield,QB,CLE,9
20,Jimmy,Garoppolo,QB,SF,11
21,Kirk,Cousins,QB,MIN,7
22,Joe,Burrow,QB,CIN,9
23,Drew,Lock,QB,DEN,8
24,Gardner,Minshew II,QB,JAC,7
25,Derek,Carr,QB,LV,6
26,Philip,Rivers,QB,IND,7
27,Teddy,Bridgewater,QB,CAR,13
28,Sam,Darnold,QB,NYJ,11
29,Dwayne,Haskins Jr.,QB,WAS,8
30,Tua,Tagovailoa,QB,MIA,11
31,Justin,Herbert,QB,LAC,10
32,Nick,Foles,QB,CHI,11
33,Jarrett,Stidham,QB,NE,6
34,Ryan,Fitzpatrick,QB,MIA,11
35,Tyrod,Taylor,QB,LAC,10
36,Mitchell,Trubisky,QB,CHI,11
37,Jameis,Winston,QB,NO,6
38,Marcus,Mariota,QB,LV,6
39,Jalen,Hurts,QB,PHI,9
40,Kyle,Allen,QB,WAS,8
1,Christian,McCaffrey,RB,CAR,13
2,Saquon,Barkley,RB,NYG,11
3,Ezekiel,Elliott,RB,DAL,10
4,Alvin,Kamara,RB,NO,6
5,Dalvin,Cook,RB,MIN,7
6,Derrick,Henry,RB,TEN,7
7,Miles,Sanders,RB,PHI,9
8,Nick,Chubb,RB,CLE,9
9,Kenyan,Drake,RB,ARI,8
10,Clyde,Edwards-Helaire,RB,KC,10
11,Aaron,Jones,RB,GB,5
12,Joe,Mixon,RB,CIN,9
13,Josh,Jacobs,RB,LV,6
14,Austin,Ekeler,RB,LAC,10
15,Chris,Carson,RB,SEA,6
16,Leonard,Fournette,RB,JAC,7
17,Todd,Gurley II,RB,ATL,10
18,David,Johnson,RB,HOU,8
19,James,Conner,RB,PIT,8
20,Melvin,Gordon,RB,DEN,8
21,Le'Veon,Bell,RB,NYJ,11
22,Jonathan,Taylor,RB,IND,7
23,D'Andre,Swift,RB,DET,5
24,Devin,Singletary,RB,BUF,11
