86,Laviska,Shenault Jr.,WR,JAC,7
87,Devin,Duvernay,WR,BAL,8
88,Antonio,Gandy-Golden,WR,WAS,8
89,Tyler,Johnson,WR,TB,13
90,Kendrick,Bourne,WR,SF,11
1,Justin,Tucker,K,BAL,8
2,Harrison,Butker,K,KC,10
3,Wil,Lutz,K,NO,6
4,Matt,Prater,K,DET,5
5,Greg,Zuerlein,K,DAL,10
6,Robbie,Gould,K,SF,11
7,Chris,Boswell,K,PIT,8
8,Matt,Gay,K,TB,13
9,Zane,Gonzalez,K,ARI,8
10,Ka'imi,Fairbairn,K,HOU,8
11,Jake,Elliott,K,PHI,9
12,Austin,Seibert,K,CLE,9
13,Mason,Crosby,K,GB,5
14,Chase,McLaughlin,K,IND,7
15,Jason,Myers,K,SEA,6
1,Steelers,Defense,D,PIT,8
2,Bills,Defense,D,BUF,11
3,49ers,Defense,D,SF,11
4,Patriots,Defense,D,NE,6
5,Ravens,Defense,D,BAL,8
6,Colts,Defense,D,IND,7
7,Broncos,Defense,D,DEN,8
8,Bears,Defense,D,CHI,11
9,Saints,Defense,D,NO,6
10,Vikings,Defense,D,MIN,7
11,Buccaneers,Defense,D,TB,13
12,Jets,Defense,D,NYJ,11
13,Chargers,Defense,D,LAC,10
14,Cowboys,Defense,D,DAL,10
15,Bengals,Defense,D,CIN,9
